City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Rio Gallegos,AR,-51.6226,-69.2181,52.75,65,81,16.13,broken clouds
181,Mount Isa,AU,-20.7333,139.5,91.17,25,29,10.36,scattered clouds
182,Sumenep,ID,-7.0167,113.8667,84.06,69,100,0.47,light rain
183,Margate,GB,51.3813,1.3862,57.9,92,100,5.01,overcast clouds
184,Snezhnogorsk,RU,69.1933,33.2531,37.18,83,100,17.27,overcast clouds
185,Tabory,RU,58.5198,64.5495,18.36,93,73,7.65,broken clouds
186,Tambacounda,SN,13.7539,-13.7586,79.93,20,100,2.01,overcast clouds
187,Vao,NC,-22.6667,167.4833,76.62,83,15,10.83,few clouds
188,San Rafael,AR,-34.6177,-68.3301,74.35,23,99,9.31,overcast clouds
189,Troitskoye,RU,52.9821,84.6757,37.8,97,100,1.21,light rain
190,Pelotas,BR,-31.7719,-52.3425,57.51,88,0,5.82,clear sky
191,Ambon,ID,-3.6954,128.1814,86.14,70,40,4.61,scattered clouds
192,Faanui,PF,-16.4833,-151.75,78.93,86,100,31.32,light rain
193,Kasongo-Lunda,CD,-6.4667,16.8167,67.17,99,100,2.17,overcast clouds
194,Lishui,CN,28.4604,119.9103,64.81,62,100,2.77,overcast clouds
195,Ballina,AU,-28.8667,153.5667,72.01,73,5,8.25,clear sky
196,Mossendjo,CG,-2.9506,12.7261,69.33,100,100,1.12,light rain
197,Bibiani,GH,6.4635,-2.3194,70.7,99,88,2.24,overcast clouds
198,Provideniya,RU,64.3833,-173.3,34.5,98,100,18.57,snow
199,Richards Bay,ZA,-28.783,32.0377,68.7,84,66,9.4,broken clouds
200,Deming,US,32.2687,-107.7586,54.81,35,100,12.19,overcast clouds
201,Isabela,PH,6.7085,121.9711,82.29,78,100,1.23,overcast clouds
202,Ust-Kulom,RU,61.6864,53.6902,29.75,94,100,6.13,overcast clouds
203,Hithadhoo,MV,-0.6,73.0833,80.96,75,100,8.66,overcast clouds
204,Along,IN,28.1667,94.7667,66.79,60,0,0.76,clear sky
205,Bethel,US,41.3712,-73.414,66.49,86,100,8.88,overcast clouds
206,San Benito,US,36.6166,-121.0844,52.84,73,58,4.45,broken clouds
207,Jacareacanga,BR,-6.2222,-57.7528,78.85,66,100,1.88,overcast clouds
208,Victoria,HK,22.2855,114.1577,70.25,88,100,5.01,overcast clouds
209,Port Augusta,AU,-32.5,137.7667,83.55,18,40,1.77,scattered clouds
210,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,82,0,4.61,clear sky
211,Suhindol,BG,43.1917,25.1811,55.02,75,98,5.26,overcast clouds
212,Istok,XK,42.7808,20.4875,53.85,83,100,7.05,overcast clouds
213,Geraldton,AU,-28.7667,114.6,73.81,46,0,12.66,clear sky
214,Pasni,PK,25.2631,63.471,75.85,75,100,5.46,overcast clouds
215,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,61.93,83,100,14.2,overcast clouds
216,Labytnangi,RU,66.6572,66.4183,20.08,89,95,6.17,overcast clouds
217,Kismayo,SO,-0.3582,42.5454,76.96,83,13,8.25,light rain
218,Mandvi,IN,22.8333,69.3667,79.81,46,70,5.5,broken clouds
219,Auki,SB,-8.7676,160.7034,84.81,69,82,5.99,broken clouds
220,Bintulu,MY,3.1667,113.0333,81.68,79,88,3.04,overcast clouds
221,Oum Hadjer,TD,13.2954,19.6966,75.47,19,100,7.61,overcast clouds
222,Revelstoke,CA,50.9832,-118.2023,12.72,97,57,1.12,broken clouds
223,Hambantota,LK,6.1241,81.1185,73.74,100,40,0.0,scattered clouds
224,Usinsk,RU,65.9939,57.5281,33.44,98,100,13.0,overcast clouds
225,Clyde River,CA,70.4692,-68.5914,-5.13,89,85,5.91,overcast clouds
226,Riyadh,SA,24.6877,46.7219,69.91,58,98,11.41,overcast clouds
227,Ikom,NG,5.9667,8.7063,72.14,89,99,0.4,overcast clouds
228,Esperance,AU,-33.8667,121.9,65.44,57,3,12.26,clear sky
229,Castro,BR,-24.7911,-50.0119,47.97,97,14,6.26,few clouds
230,Puerto Quijarro,BO,-17.7833,-57.7667,70.95,45,0,3.51,clear sky
231,Najran,SA,17.4924,44.1277,61.03,40,0,0.56,clear sky
232,Acari,PE,-15.4311,-74.6158,65.84,73,19,3.94,few clouds
233,Umm Lajj,SA,25.0213,37.2685,74.48,51,100,9.35,overcast clouds
234,Cuxhaven,DE,53.8718,8.6909,48.4,81,75,13.8,light rain
235,Faya,SA,18.3851,42.4509,58.32,86,2,2.51,clear sky
236,Atambua,ID,-9.1061,124.8925,86.34,53,97,3.38,overcast clouds
237,Ust-Tarka,RU,55.5672,75.705,29.12,90,100,18.66,overcast clouds
238,San Carlos,VE,9.6612,-68.5827,70.83,94,100,2.06,overcast clouds
239,Culfa,AZ,38.9558,45.6308,44.47,46,9,2.68,clear sky
240,Tilichiki,RU,60.4667,166.1,28.13,92,100,3.53,overcast clouds
241,Nyurba,RU,63.2842,118.3319,0.25,95,88,2.01,overcast clouds
242,Bilibino,RU,68.0546,166.4372,22.32,96,100,1.01,snow
243,Dongsheng,CN,39.8161,109.9776,40.86,52,0,12.37,clear sky
244,Wanning,CN,18.8003,110.3967,74.03,86,78,11.43,broken clouds
245,El Alto,PE,-4.2714,-81.2147,60.91,85,53,11.39,broken clouds
246,Venado Tuerto,AR,-33.7456,-61.9688,65.77,34,100,11.97,overcast clouds
247,Chor,PK,25.5167,69.7667,74.1,48,100,7.81,overcast clouds
248,Iqaluit,CA,63.7506,-68.5145,1.87,98,70,4.32,broken clouds
249,Leshan,CN,29.5623,103.7639,62.87,79,100,0.38,overcast clouds
250,Barcelos,PT,41.5388,-8.6151,54.91,75,100,6.11,overcast clouds
251,Tigil,RU,57.8,158.6667,31.98,91,100,17.92,light snow
252,Ahipara,NZ,-35.1667,173.1667,67.14,54,100,1.88,overcast clouds
253,Sovetskaya Gavan,RU,48.9723,140.2878,31.33,34,0,11.01,clear sky
254,Port Lincoln,AU,-34.7333,135.8667,73.58,45,5,5.26,clear sky
255,Promyshlennaya,RU,54.9159,85.6385,25.75,88,100,7.94,overcast clouds
256,East London,ZA,-33.0153,27.9116,64.9,79,37,4.47,scattered clouds
257,Oil City,US,41.4339,-79.7064,71.58,78,0,18.41,clear sky
258,Masindi,UG,1.6744,31.715,64.58,97,98,3.33,overcast clouds
259,Sivaki,RU,52.6333,126.75,23.58,67,46,6.89,scattered clouds
260,Lundazi,ZM,-12.2929,33.1782,68.31,59,3,6.62,clear sky
261,Tabou,CI,4.423,-7.3528,77.52,87,36,5.75,scattered clouds
262,Haines Junction,CA,60.7522,-137.5108,8.29,87,100,4.94,overcast clouds
263,Fengxian,CN,34.7039,116.5872,59.02,38,100,11.9,overcast clouds
264,Goroka,PG,-6.0834,145.3873,68.58,87,98,1.16,overcast clouds
265,Ancud,CL,-41.8697,-73.8203,50.45,90,59,7.31,broken clouds
266,Woodstock,CA,43.1334,-80.7497,71.82,64,100,15.99,overcast clouds
267,Puerto Baquerizo Moreno,EC,-0.9,-89.6,66.25,77,86,13.27,overcast clouds
268,Vrangel,RU,42.7297,133.0839,40.87,43,0,8.39,clear sky
269,Kaitangata,NZ,-46.2817,169.8464,56.21,55,18,8.01,few clouds
270,Bambanglipuro,ID,-7.95,110.2833,81.64,79,90,6.55,light rain
271,Gualaquiza,EC,-3.4,-78.55,64.24,94,100,1.19,overcast clouds
272,Lagoa,PT,39.05,-27.9833,63.86,76,23,11.27,few clouds
273,Penzance,GB,50.1186,-5.5371,56.08,82,82,17.76,broken clouds
274,Port Keats,AU,-14.25,129.55,95.18,42,5,4.59,clear sky
275,Bumba,CD,2.1833,22.4667,69.28,97,100,2.55,light rain
276,Zhigansk,RU,66.7697,123.3711,-19.89,97,30,7.25,scattered clouds
277,Katsuura,JP,35.1333,140.3,61.57,65,100,15.82,overcast clouds
278,Certeze,RO,47.9,23.4667,48.97,82,99,1.74,overcast clouds
279,Marsh Harbour,BS,26.5412,-77.0636,79.88,72,0,22.66,clear sky
280,Husavik,IS,66.0449,-17.3389,36.7,91,100,7.56,overcast clouds
281,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,78,75,10.36,broken clouds
282,Floro,NO,61.5996,5.0328,46.36,87,100,10.36,light intensity shower rain
