City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
363,Trairi,BR,78.76,overcast clouds,-3.2778,-39.2689,janelas do mar
370,Brandon,US,78.87,clear sky,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
372,Acapulco,MX,79.29,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
378,Bac Lieu,VN,81.66,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
383,Sulangan,PH,83.1,scattered clouds,11.1373,123.7228,Maia's Beach Resort
384,Podor,MR,82.17,overcast clouds,16.6527,-14.9587,Auberge Du Tékrour
398,Ternate,ID,84.67,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
404,Vaitape,PF,78.94,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
411,Labuhan,ID,81.36,overcast clouds,-6.8844,112.2051,DoubleFAG
416,Dwarka,IN,79.52,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
417,Banting,MY,87.84,overcast clouds,2.8167,101.5,Hotel Intan Jugra
419,Aborlan,PH,86.77,overcast clouds,9.4352,118.5492,Kevina Transient House
423,Makakilo City,US,82.56,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
424,Wewak,PG,84.67,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
450,Emerald,AU,79.34,clear sky,-23.5333,148.1667,The Irish Village
457,Luwuk,ID,87.24,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
480,Gizo,SB,83.93,light rain,-8.103,156.8419,Imagination Island
483,Muli,MV,80.78,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
487,Lahat,ID,80.24,overcast clouds,-3.8,103.5333,Bukit Serelo Hotel
524,Kochi,IN,78.03,scattered clouds,9.9399,76.2602,Trident Hotel Cochin
529,Phan Thiet,VN,80.94,overcast clouds,10.9333,108.1,Hotel Saigon-PT
536,Careiro Da Varzea,BR,83.01,broken clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
564,Apad,PH,85.41,overcast clouds,13.815,122.7664,Blanza's Residences
587,Karratha,AU,82.83,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
598,San Andres,CO,82.31,few clouds,12.5847,-81.7006,Hotel Arena Blanca
603,Bubaque,GW,82.94,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
605,Port Pirie,AU,79.68,overcast clouds,-33.1833,138.0167,John Pirie Motor Inn
622,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
628,Ocos,GT,78.98,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
641,Mackay,AU,83.68,broken clouds,-21.15,149.2,International Lodge Motel
644,Puerto Escondido,MX,81.52,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
646,Tual,ID,84.27,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
652,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
663,Hobyo,SO,79.18,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
668,Barabai,ID,84.33,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
